"Power System","Region","Timestamp","UTC Offset","Metered Load Power (kW)","Load Power (kW)","Solar Power (kW)","Battery Power (kW)","Min Cell Voltage (mV)","Max Cell Voltage (mV)","Mean Cell Voltage (mV)","Battery SOC (%)","Battery Voltage (V)","Ambient Temperature (C)","Battery Temperature (C)","Battery Current (A)","Connectivity[solsense]"
"Nimlajacoc","Guatemala","2021-10-17 11:00:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:01:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:02:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:03:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:04:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:05:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:06:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:07:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:08:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:09:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:10:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:11:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:12:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:13:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:14:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:15:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:16:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:17:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:18:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:19:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:20:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:21:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:22:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:23:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:24:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:25:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:26:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:27:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:28:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:29:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:30:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:31:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:32:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:33:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:34:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:35:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:36:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:37:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:38:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:39:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:40:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:41:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:42:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:43:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:44:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:45:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:46:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:47:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:48:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:49:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:50:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:51:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:52:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:53:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:54:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:55:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:56:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:57:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:58:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 11:59:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:00:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:01:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:02:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:03:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:04:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:05:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:06:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:07:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:08:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:09:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:10:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:11:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:12:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:13:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:14:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:15:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:16:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:17:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:18:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:19:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:20:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:21:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:22:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:23:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:24:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:25:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:26:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:27:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:28:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:29:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:30:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:31:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:32:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:33:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:34:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:35:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:36:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:37:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:38:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:39:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:40:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:41:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:42:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:43:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:44:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:45:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:46:00","-06:00",0,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:47:00","-06:00",0,,0.08650000000000001,,,,,98,53.2,54.0625,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 12:48:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:49:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:50:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 12:51:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:52:00","-06:00",0,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:53:00","-06:00",,,0.0883,,,,,98,53.2,53.875,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 12:54:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:55:00","-06:00",,,,,,,,,,,,-1.1,1
